Rating,Reviews,ID,userID
4.8,5299,469,469
4.3,2506,994,994
4.1,4786,90,90
4,272,501,501
4.2,1157,1049,1049
4.1,964,949,949
3.8,666,243,243
4.5,343,1046,1046
3.6,1511,499,499
4.8,1230,909,909
3.7,273,328,328
4.3,4149,495,495
3.7,325,922,922
5,4,809,809
4.1,2374,630,630
4.3,41,394,394
3.9,410,554,554
4.7,18,247,247
4.4,1134,741,741
4.4,2939,787,787
4.6,142,779,779
4.5,136,457,457
3.8,42,1045,1045
4.3,727,461,461
4.3,2093,435,435
4.2,4.2,155,155
4.6,549,520,520
4.4,5684,694,694
4.1,1038,570,570
4.2,11528,442,442
4.5,3011,285,285
4.2,192,77,77
4.1,67,163,163
4.2,2041,171,171
4.7,3,290,290
3.8,78,390,390
4,93,38,38
4.5,2,906,906
3.5,772,879,879
3.7,602,411,411
3.7,736,915,915
5,4.2,94,94
4,2624,911,911
4.4,23,955,955
4.4,5,563,563
4,1,119,119
4.2,4.2,61,61
4.2,644,617,617
5,1,33,33
4,611,752,752
3.7,72,93,93
4,4,660,660
4.5,131,36,36
4.1,4.2,67,67
4.5,4,24,24
3.7,192,516,516
4.9,435,874,874
4.7,3,981,981
4.4,46,790,790
4.2,93,87,87
3,1,331,331
2,4.2,412,412
4.2,149,191,191
3.7,918,107,107
4.7,371,63,63
4.6,5,118,118
4.3,533,973,973
4,3,571,571
4.2,73,289,289
3.6,507,585,585
4.5,167,145,145
2.3,3,953,953
3.8,393,332,332
4.8,5,622,622
3.7,7,149,149
4.8,430,870,870
4.4,579,174,174
4.5,2,480,480
3.9,196,952,952
3.7,208,137,137
4.5,1051,528,528
4.1,597,455,455
5,1,11,11
5,5,18,18
1,1,976,976
4,614,225,225
4.2,566,78,78
3.8,420,1004,1004
4.4,953,379,379
4.1,27,968,968
4.1,27,284,284
5,1,987,987
4.3,2087,609,609
5,1,37,37
4.4,25,742,742
4.4,636,763,763
3.7,199,931,931
4.3,3,881,881
4.2,661,49,49
4.4,163,386,386
4.1,57,407,407
5,2,675,675
4.5,248,76,76
3.9,29,450,450
4.4,103,272,272
4.4,16,41,41
3.8,735,914,914
4.3,256,445,445
4.1,45,246,246
5,1,768,768
4,1931,231,231
4.4,98,395,395
4.3,159,218,218
4.1,50,642,642
4,386,108,108
5,2,975,975
3.9,10,861,861
3.7,33,444,444
5,1,334,334
5,2,486,486
4.2,13,558,558
4.3,7,301,301
3.9,7,892,892
4.2,87,759,759
5,2,653,653
3.8,4,1053,1053
5,1,186,186
4.5,13,387,387
3.6,9,688,688
2.6,4.2,808,808
4.4,13,722,722
5,4,531,531
4.2,413,761,761
4.5,36,144,144
4.4,4.2,575,575
4.1,8,1057,1057
4.7,13,624,624
4.6,4.2,672,672
3.7,7,853,853
4.5,2,462,462
4.6,137,270,270
4.5,123,276,276
3.8,105,836,836
4.3,4.2,6,6
4.2,4.2,957,957
5,5,920,920
3.3,707,367,367
2.5,2,834,834
4,144,401,401
4.3,1067,678,678
4.2,233,448,448
4,103,252,252
4.2,4.2,337,337
3.7,3,718,718
3.6,8,664,664
3.8,1012,1029,1029
4.4,103,766,766
4.3,424,797,797
4.3,367,180,180
4.4,42,20,20
4.1,195,187,187
4.1,797,432,432
5,2,537,537
4.2,4.2,546,546
4.2,337,233,233
4.3,2503,265,265
3.9,644,353,353
4.3,351,839,839
4.2,4.2,95,95
3.8,518,375,375
4.3,752,160,160
4.2,4.2,40,40
4,2128,850,850
4.6,5,419,419
4.5,164,707,707
4.5,4,669,669
4.7,37,984,984
4.2,4.2,589,589
3.8,503,436,436
4.4,1097,96,96
4.2,4.2,333,333
3.9,848,867,867
4.2,774,767,767
4.2,4.2,476,476
4.8,13,1030,1030
3.8,2879,545,545
5,1,734,734
4.1,495,307,307
4.1,64,677,677
4.2,2125,111,111
4.2,4.2,577,577
4.1,597,868,868
4.3,1664,75,75
4.2,4.2,620,620
4.5,802,79,79
4.6,378,349,349
4.5,356,539,539
4.2,102,13,13
4.3,247,344,344
3.9,764,606,606
4,1400,801,801
4.7,1000,258,258
4.2,210,1012,1012
5,1,83,83
3.9,294,937,937
4,2624,172,172
2,1,183,183
4.3,339,380,380
5,1,928,928
4.5,114,583,583
4.4,167,1050,1050
4.1,225,440,440
4.2,4.2,109,109
4.1,2431,740,740
4.3,1220,509,509
2.8,143,82,82
3.5,23,628,628
3.8,156,534,534
4,44,383,383
4.1,1941,959,959
4.3,638,666,666
4,2208,651,651
4.3,383,242,242
3.8,42,966,966
4.2,4.2,656,656
4.2,6,946,946
4.6,257,800,800
3.8,735,80,80
4.2,165,685,685
4.6,77,206,206
4.2,2105,235,235
4.8,524,456,456
4.3,976,1061,1061
4.2,4.2,320,320
4.3,652,44,44
3.9,982,823,823
4.2,2944,998,998
4.3,463,623,623
4.2,327,162,162
4.1,648,121,121
4.4,24264,340,340
4.2,4.2,1002,1002
4.4,2607,781,781
4.3,3926,692,692
4,66,124,124
3.8,208,1027,1027
3.3,65,279,279
4.2,274,291,291
4.5,43,602,602
4.5,3949,167,167
5,84,613,613
3.5,133,565,565
3.9,5197,1031,1031
3.5,163,12,12
4,291,262,262
4.2,4.2,143,143
4.3,55,891,891
4.3,244,216,216
4,151,818,818
3.9,319,190,190
4.3,4675,636,636
4.2,4.2,193,193
4.1,261,298,298
4.4,1242,557,557
4.5,52,893,893
4.1,2530,195,195
4.4,602,221,221
4.2,4.2,437,437
4.3,436,402,402
4.2,33,70,70
3.7,879,780,780
4.3,48,725,725
4.2,4.2,26,26
4.6,332,921,921
4.1,135,374,374
4.6,738,369,369
3.9,358,882,882
4,3014,317,317
4.2,15,830,830
3.9,1367,1018,1018
4.3,228,308,308
3.9,2332,553,553
4.5,204,663,663
4.4,17472,751,751
4.2,2386,737,737
4.1,2069,930,930
4.7,310,423,423
4.2,2736,103,103
4.2,4.2,151,151
3.9,29,275,275
4.1,472,828,828
4.2,4.2,887,887
4.4,3365,1040,1040
3.5,182,829,829
4.3,483,15,15
3.9,525,536,536
4.2,4.2,564,564
4.3,4128,941,941
3.6,217,303,303
4.2,4.2,169,169
4.2,795,517,517
4.5,293,778,778
3.4,300,16,16
4.2,4.2,378,378
4.2,4.2,452,452
3.9,1337,365,365
3.2,339,983,983
4.3,113,410,410
4,155,490,490
4.2,4.2,62,62
3.9,282,223,223
4.2,4.2,904,904
4,10311,641,641
4.2,4.2,102,102
4.6,37,392,392
4.2,4.2,141,141
4.1,1996,815,815
4.2,4.2,0,0
3.4,140,680,680
4.4,62959,468,468
4.3,651,547,547
3.6,1361,341,341
4.2,4.2,81,81
4.4,170,278,278
4,12589,489,489
4.6,250,406,406
4,522,347,347
4.7,1554,591,591
3.9,51,212,212
4,251,845,845
4.2,4.2,267,267
4.1,187,182,182
4.2,4.2,556,556
4.6,84,784,784
4.3,196,524,524
4.2,4.2,105,105
4.4,454,507,507
4.5,13705,356,356
4.4,198,300,300
4.2,96,917,917
4.1,1570,263,263
4.2,4.2,327,327
4.2,4.2,658,658
3.3,385,363,363
3.9,298,988,988
3.8,80,205,205
4.8,16,170,170
4.6,230,84,84
4.2,4.2,302,302
3.9,631,561,561
4.4,291,384,384
4.2,401,819,819
4.2,53,1035,1035
4.4,13130,373,373
4.5,28,1051,1051
4.9,7,632,632
4.1,101,876,876
4.2,4.2,408,408
4.8,6,866,866
4.1,2848,414,414
4.4,75,299,299
5,1,209,209
4,2,916,916
4.3,29,706,706
4.1,42,573,573
4,276,47,47
4.6,62,65,65
4.3,48,847,847
3.9,38,934,934
4,1,538,538
4.5,4695,139,139
4.4,102,294,294
4.1,19,127,127
4.2,51,60,60
4.5,3949,264,264
4.7,666,311,311
4.2,312,521,521
4.4,1717,309,309
4.5,406,449,449
4.3,104,493,493
4.2,4.2,433,433
3.5,6,942,942
5,7,66,66
4.1,679,478,478
4.1,161,393,393
4.7,203,192,192
4.3,513,747,747
4.4,7,214,214
4.3,284,597,597
4.3,11837,177,177
4.3,7234,115,115
4.2,4.2,370,370
4.6,73,54,54
4.5,579,806,806
4.4,28,533,533
4.5,1306,529,529
4.6,1194,732,732
4.5,596,590,590
4.4,232,123,123
4.4,2174,644,644
4.3,8,104,104
4.5,3676,971,971
4.6,72,824,824
4.6,23,425,425
4.7,316,639,639
4.5,242,869,869
4.7,185,935,935
4.4,54,178,178
4.6,152,786,786
4.4,433,748,748
4.3,164,447,447
4.3,104,841,841
4.4,478,532,532
4.6,149,339,339
4.1,166,1056,1056
4.5,925,73,73
4.2,146,665,665
4.4,1444,312,312
4.4,301,153,153
5,2,782,782
4.4,73,150,150
4.5,270,709,709
4.5,168,750,750
4.6,38,560,560
4.6,400,1073,1073
4.3,809,865,865
4.5,115,1020,1020
4.4,157,604,604
4.5,54,783,783
4.6,1196,1024,1024
3,8,464,464
3.8,40,743,743
4.4,318,810,810
4.4,317,985,985
4.4,28,228,228
4.3,46,900,900
4.7,7,219,219
4.1,8,655,655
4.7,83,945,945
4.6,33,25,25
4.5,2277,939,939
4.7,29,364,364
4.9,9,757,757
4.5,483,754,754
4.7,126,525,525
4.7,30,498,498
4.4,36,932,932
4.4,489,863,863
3.9,21,5,5
3.5,6,85,85
4.5,312,48,48
4.3,3,431,431
4,5,266,266
4.7,123,354,354
4.7,133,257,257
3.9,12,336,336
5,1,776,776
4.4,170,319,319
4.5,129,426,426
4.4,288,389,389
4.2,22,479,479
4.3,620,7,7
4.6,25,403,403
4.3,2855,381,381
4.4,1238,712,712
4.4,19,899,899
4.6,16,580,580
4.4,37,438,438
4.5,1337,633,633
4.4,101,130,130
4.4,213,593,593
3.6,11,292,292
4.5,268,129,129
4.5,81,52,52
4.4,3365,929,929
4.6,426,203,203
4.4,64,947,947
4.3,88,359,359
4.8,12,770,770
4.4,320,236,236
4.5,716,961,961
4.7,79,34,34
4.4,67,142,142
4.5,189,731,731
4.5,73,997,997
4.6,14,1010,1010
4.4,65,176,176
4.3,60,679,679
4.1,48,848,848
4.8,22,1003,1003
4.8,4,1025,1025
4.5,12,965,965
5,4,581,581
5,1,21,21
4.7,3,775,775
4.4,50,659,659
4.1,18,154,154
4.7,7,699,699
4.5,147,884,884
3.5,2,200,200
5,1,355,355
4,4,31,31
4,66,1069,1069
4.2,5643,611,611
4.2,4363,86,86
4.1,1598,254,254
4.1,4882,1048,1048
4.6,195,979,979
4.1,621,1072,1072
3.3,36,159,159
4.1,3512,668,668
4.3,3850,69,69
4.3,2402,827,827
3.9,2056,274,274
4.3,695,368,368
4.5,7447,562,562
4.8,39,755,755
4.1,2053,269,269
4.1,2082,208,208
4.3,286,963,963
4.1,621,723,723
4.3,6738,717,717
4.1,1613,777,777
4.1,429,43,43
3.9,294,488,488
4,306,1071,1071
4.1,999,91,91
4.4,4217,543,543
4.2,5993,116,116
4.7,2081,89,89
4.1,3512,1006,1006
4.1,621,51,51
4.2,3794,100,100
4.1,2053,702,702
4.5,7384,951,951
4.2,2529,584,584
4.2,6828,1014,1014
4.7,583,736,736
4.5,7447,164,164
4.3,634,453,453
4,5957,1034,1034
4.5,2,1007,1007
4.3,6738,813,813
4.2,1005,122,122
4.4,128,948,948
3.9,1486,197,197
3.4,457,978,978
4.3,806,74,74
4.1,5113,1001,1001
4.1,300,567,567
3.8,1854,64,64
3.4,306,314,314
4.6,9545,46,46
4.4,1029,540,540
4.2,5112,640,640
4.4,6238,343,343
3.5,954,417,417
4,1435,792,792
4,2960,321,321
4.1,2129,287,287
4,645,894,894
3.4,26,944,944
4.1,161,371,371
4.5,204,351,351
4,1469,485,485
4.6,1666,650,650
4.5,7669,68,68
4.4,690,578,578
4.3,22056,500,500
4,460,131,131
3.5,76,201,201
4.1,90,1017,1017
4.3,5537,508,508
4.2,1389,670,670
4,10311,175,175
4.3,703,202,202
4.1,2587,114,114
4.4,371,238,238
4.4,6611,758,758
3.5,1531,950,950
4.1,4080,729,729
4.6,1888,53,53
4.2,1361,1043,1043
4.1,899,837,837
4.1,4493,990,990
4.5,1256,310,310
4.1,1684,391,391
3.7,638,360,360
4.8,2633,637,637
4.6,1589,376,376
4,5741,471,471
3.7,1136,59,59
4.5,3959,358,358
3.4,1651,854,854
3.1,263,451,451
4.4,2500,434,434
4.4,1172,506,506
3.5,196,472,472
4.3,1442,771,771
3.8,658,683,683
3.9,257,491,491
4.2,2851,858,858
4.3,3161,864,864
4.5,721,769,769
4.4,1709,1068,1068
4,431,227,227
4.2,297,856,856
4.4,689,559,559
3.6,300,140,140
3.8,2128,799,799
3.1,76,897,897
3.6,466,152,152
3.9,76,324,324
4.4,602,165,165
4.4,372,695,695
4.4,126,22,22
2.4,306,586,586
4.1,4108,913,913
4.3,525,760,760
2.9,56,873,873
4.5,163,1015,1015
3.9,322,106,106
3.6,151,764,764
5,1,626,626
4.3,7234,785,785
4.7,96380,420,420
4.5,45079,714,714
4.8,1449,181,181
4.2,4.2,215,215
4.5,34070,798,798
4,1,1055,1055
4.4,3365,463,463
4.4,102,977,977
4.2,4.2,857,857
4.5,4,627,627
4.3,36,259,259
4.3,96,458,458
3.7,52,514,514
4.2,4.2,821,821
4.6,10,647,647
5,2,713,713
4.2,450,126,126
5,1,35,35
4.2,4.2,125,125
4.4,59937,789,789
5,1,880,880
4.7,35,925,925
4.3,76,421,421
4.2,11,833,833
4.3,111,1062,1062
4,1,744,744
4,1,1038,1038
3,2,503,503
4.6,7,943,943
4.8,44,696,696
5,1,576,576
4.4,38,671,671
3.5,3338,568,568
4.1,10,477,477
4,1,29,29
4.5,411,226,226
4.2,905,852,852
4,86,844,844
4.5,4,283,283
4.5,2,413,413
4.5,4021,113,113
5,3,470,470
5,5,652,652
4.5,25,974,974
4.2,4.2,796,796
4.2,9241,684,684
3,2,541,541
5,1,607,607
4.6,530,405,405
5,1,727,727
5,1,484,484
4.3,210,396,396
4.2,4.2,715,715
4.2,9,166,166
4.2,2042,686,686
5,1,134,134
4.2,4.2,429,429
4.2,4.2,703,703
4.8,23,518,518
4.3,3,443,443
4,1,710,710
3.3,4,603,603
4.7,484,846,846
4.3,46409,237,237
4.7,399,260,260
4,4,704,704
5,5,954,954
4.2,4.2,548,548
4.2,4.2,886,886
4.6,31,256,256
5,1,697,697
4.2,4.2,673,673
5,1,281,281
4.6,16,822,822
4.3,49,542,542
4.2,778,860,860
4.2,92,207,207
4.5,47,23,23
4.6,519,1060,1060
5,6,572,572
4.7,989,409,409
4.8,28,711,711
4.5,86,98,98
4.6,555,296,296
4.6,238,962,962
4.2,4.2,467,467
4.7,346,293,293
4.7,2175,465,465
5,7,716,716
5,7,362,362
3.7,172,466,466
4.7,318,898,898
4.7,239,372,372
4.7,34,315,315
4.4,5779,555,555
4.6,5555,55,55
4.1,653,305,305
3.3,13,8,8
4.6,7,901,901
4.3,4690,342,342
4.5,24199,535,535
4.1,2552,424,424
4.3,7385,972,972
3.4,146,598,598
4.1,4068,229,229
3.7,43,504,504
3.9,1906,739,739
4.4,993,674,674
4.9,28,599,599
4.2,350,357,357
4.7,39,400,400
4.8,2121,807,807
4.6,355,220,220
3.9,106,738,738
5,25,136,136
4.7,549,101,101
4.7,354,638,638
4.5,79,601,601
4.9,76,721,721
4.2,4.2,1052,1052
4.9,406,377,377
4.5,32,646,646
4.2,69,701,701
4.9,622,817,817
3.9,1141,316,316
4.7,7,708,708
4.4,335,253,253
4.1,34,388,388
4.8,45,27,27
4.2,4.2,728,728
4.4,181,788,788
4.3,73,497,497
4.9,665,933,933
4.9,29,926,926
4.9,41,418,418
5,4,323,323
5,18,831,831
4.9,22,120,120
4.6,52,1063,1063
5,16,993,993
4.5,343,888,888
4.7,161,133,133
4.7,34,92,92
4.5,2981,530,530
4.6,145,838,838
4.8,864,248,248
5,100,804,804
4.3,692,117,117
4.4,803,814,814
4.4,319,196,196
4.2,322,840,840
4.3,1255,56,56
4.8,251,441,441
4.5,385,330,330
4.5,459,135,135
3.9,843,57,57
4.4,212,335,335
4.2,369,765,765
4.1,153,1059,1059
4.1,259,682,682
4.6,914,826,826
4.1,3246,361,361
4.1,646,416,416
4.4,177,964,964
4.2,738,510,510
